name,status,date,month_counter,mesor_oC,amplitude_oC,min_oC,max_oC,acrophase_decimal_hours,mass_kg,mass_monthly_gain_kg,BG_mmol.l,insulin_uU.ml,leptin_ng.ml
Afra,Wether,2010-01-06T00:00:00Z,-2,37.8924174917493,0.4488049996031966,37.4436124921461,38.3412224913525,19,46.5,NA,4.4,2.43,0.38
Afra,Wether,2010-02-03T00:00:00Z,-1,37.9733168316832,0.24131525755789526,37.732001574125306,38.21463208924109,19.5,49,2.5,5,3.32,0.58
Afra,Wether,2010-03-03T00:00:00Z,0,38.10320132013198,0.09417688974896281,38.009024430383015,38.197378209880945,21.066666666666666,50,1,5.8,2.37,0.45
Afra,Wether,2010-04-07T00:00:00Z,1,38.040239273927455,0.18875344918112685,37.85148582474633,38.22899272310858,21.766666666666666,50.5,0.5,5.7,2.36,0.56
Afra,Wether,2010-05-05T00:00:00Z,2,38.06658415841596,0.2345842067537244,37.83199995166223,38.30116836516968,18.7,52.5,2,4.9,4.72,0.59
Afra,Wether,2010-06-02T00:00:00Z,3,37.87598184818499,0.3225497061330077,37.55343214205198,38.198531554318,19.233333333333334,53.5,1,5.5,4.32,0.48
Afra,Wether,2010-07-07T00:00:00Z,4,37.87224422442256,0.327756610386439,37.54448761403612,38.200000834808996,18.483333333333334,53.5,0,6.8,3.35,0.59
Afra,Wether,2010-08-04T00:00:00Z,5,37.85250825082515,0.3398023645028448,37.51270588632231,38.192310615328,17.85,54.5,1,4.9,3.46,0.48
Afra,Wether,2010-09-01T00:00:00Z,6,37.8666749174919,0.29056678827289556,37.576108129219,38.1572417057648,19.266666666666666,54.5,0,5.4,4.77,0.65
Afra,Wether,2010-10-06T00:00:00Z,7,37.889339933993476,0.2341460575095852,37.65519387648389,38.12348599150306,20.383333333333333,55.5,1,5.4,2.31,0.54
Bagel,Wether,2010-01-06T00:00:00Z,-2,38.242479879275784,0.31664725393397053,37.92583262534181,38.559127133209756,19.383333333333333,38,NA,4.1,0.74,0.49
Bagel,Wether,2010-02-03T00:00:00Z,-1,38.23098591549315,0.1996709412558056,38.03131497423735,38.43065685674895,19.733333333333334,41,3,4.3,1.83,0.57
Bagel,Wether,2010-03-03T00:00:00Z,0,38.29519617706253,0.13480839870448308,38.16038777835804,38.430004575767015,22.566666666666666,41.5,0.5,4.5,1.24,0.55
